EZON México. Smart Lock Finder - Catálogo de Modelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICACIÓN DEL PRODUCTO,,,,,,P1 · MATERIAL DE LA PUERTA,,,P2 · TIPO DE PUERTA,,,,,P3 · GROSOR DE PUERTA,,P4 · UBICACIÓN,,,,,,,P5 · MÉTODOS DE ACCESO,,,,,,P6 · FUNCIONES ESPECIALES  (condicional),,,,,,,P7 · TIPO DE CERRADURA  (condicional),,,
Marca,Nombre,URL Shopify,URL img,Precio Full,Precio con descuento,Madera,Metal,Vidrio,Abatible — 1 hoja,Abatible — 2 hojas,Corrediza — 1 hoja,Corrediza — 2 hojas,Reja,Grosor mín (cm),Grosor máx (cm),Interior — Puerta principal,Interior — Recámara / cuarto,Interior — Closet / bodega,Interior — Oficina / negocio,Exterior — Con techo,Exterior — Sin techo / expuesto,Exterior — Reja,Huella dactilar,Reconocimiento facial,Código PIN,App celular,Tarjeta / RFID,Llave mecánica respaldo,Bloqueo automático,Modo niño,Cámara / videoportero,Códigos temporales (Airbnb),Apertura remota,Google Home / Alexa,Administración Airbnb,Cerradura con manija,Push-pull,Cerrojo / Deadbolt,Candado
Igloohome,Cerradura Inteligente con Código Mortise 2,https://ezonmexico.com/products/cerradura-inteligente-igloohome-mortise2,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP2_Mortise2-01.jpg,"$9,595.00","$9,595.00",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,7 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Igloohome,Cerradura Inteligente con Huella Digital Mortise 2+,https://ezonmexico.com/products/cerradura-inteligente-igloohome-mortise2plus,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP2_Mortise2_-01.jpg,"$12,124.00","$9,699.00",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,7 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Igloohome,Cerradura Inteligente con Huella Mortise Touch,https://ezonmexico.com/products/cerradura-inteligente-igloohome-huella-mortise-touch,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP3_MortiseTouchGris-01.jpg,"$21,227.00","$12,736.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,7 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Igloohome,Cerradura Inteligente con Huella Push Pull Mortise,https://ezonmexico.com/products/cerradura-inteligente-huella-igloohome-push-pull-mortise,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP2_PushPull-01.jpg,"$16,882.00","$11,818.00",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,7 cm,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Zigbang,Cerradura Inteligente WiFi SHP-H60R,https://ezonmexico.com/products/cerradura-inteligente-wifi-zigbang-shp-h60r,https://ezonmexico.com/cdn/shop/files/BasicasGrisesZigbang_H60-01.jpg,"$12,899.00","$7,095.00",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,6 cm,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Igloohome,Cerradura Inteligente Smart Lever Mortise,https://ezonmexico.com/products/cerradura-inteligente-igloohome-lever-mortise,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP2_Lever-01.jpg,"$7,194.00","$7,194.00",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,6 cm,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente con Huella EXC-SP600 WiFi,https://ezonmexico.com/products/cerradura-inteligente-huella-excel-sp600-wifi,https://ezonmexico.com/cdn/shop/files/BasicasGrisesExcel_SP600-01_ce4c79f8-3c15-4767-a299-19a8c66dc6c7.jpg,"$15,730.00","$9,438.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,6 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Excel,Cerrojo Digital Para Puerta Corrediza EXC-D430,https://ezonmexico.com/products/cerradura-rfid-codigo-excel-d430,https://ezonmexico.com/cdn/shop/files/BasicasGrisesExcel_D430-01.jpg,"$3,919.00","$3,135.00",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4 cm,6 cm,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Igloohome,Cerrojo Para Puerta De Vidrio Glass Door Lock,https://ezonmexico.com/products/cerrojo-puerta-vidrio-igloohome-glass-door-lock,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP1_GlassDoors-01.jpg,"$5,932.00","$4,746.00",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Igloohome,Cerrojo Inteligente Bluetooth Deadbolt 2S Metal Grey,https://ezonmexico.com/products/cerrojo-inteligente-igloohome-deadbolt2s,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP1_Deadbolt-01.jpg,"$5,967.00","$5,967.00",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,6 cm,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Excel,Cerrojo Inteligente con Huella Digital EXC-SD300,https://ezonmexico.com/products/cerrojo-inteligente-huella-excel-sd300,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEZON5.0_SD300-01.jpg,"$2,974.00","$2,082.00",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,5 cm,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Excel,Cerrojo Inteligente con Huella Digital EXC-SD335,https://ezonmexico.com/products/cerrojo-inteligente-huella-excel-sd335,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEXCSD335-01_646167e6-8680-4294-a483-5d8a6c3776bf.jpg,"$4,789.00","$4,310.10",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,5 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Excel,Cerrojo Inteligente con Huella EXC-SD400,https://ezonmexico.com/products/cerrojo-inteligente-excel-sd400,https://ezonmexico.com/cdn/shop/files/BasicasGrisesExcel_SD400-01.jpg,"$6,419.00","$4,814.00",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,6 cm,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Excel,Cerrojo Para Puerta De Cristal EXC-SD345,https://ezonmexico.com/products/cerradura-puerta-vidrio-excel-sd345,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEXC-SD345-01.jpg,"$4,995.00","$4,495.50",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Igloohome,Cerrojo Inteligente Rim Lock for Wooden Doors,https://ezonmexico.com/products/cerrojo-inteligente-igloohome-rimlock,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP1_WoodenDoors-01.jpg,"$5,503.00","$4,952.70",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.5 cm,6 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Samsung,Cerrojo Inteligente WiFi con Huella SHP-A30,https://ezonmexico.com/products/cerrojo-inteligente-samsung-shp-a30,https://ezonmexico.com/cdn/shop/files/BasicasGrisesExcel_A30-01.jpg,"$14,366.00","$7,901.00",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,5.5 cm,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
